build,subfeature,playtime,fps,date
liveday_26,One,43787,78.64268,2023-03-31 10:39:29.997
liveday_26,Two,44828,99.92581,2023-03-31 10:57:41.119
liveday_26,Three,43187,93.38685,2023-03-31 10:28:37.737
liveday_26,Four,39445,76.41879,2023-03-31 09:24:33.388
liveday_26,One,39830,78.24288,2023-03-31 09:31:50.069
liveday_26,Two,38716,98.91481,2023-03-31 09:11:32.234
liveday_26,Two,38792,98.413704,2023-03-31 09:12:48.833
liveday_26,Four,39290,99.02013,2023-03-31 09:21:58.898
liveday_26,One,43897,98.576004,2023-03-31 10:41:19.936
liveday_26,Two,44664,87.12119,2023-03-31 10:54:56.665
s00_13,NULL,10370,52.43602,2023-05-05 10:58:08.881
s00_13,NULL,7843,53.717632,2023-05-05 10:12:51.141
s00_13,NULL,9460,54.240746,2023-05-05 10:42:01.166
s00_13,NULL,7387,43.01528,2023-05-05 10:05:15.516
s00_13,NULL,9856,54.696243,2023-05-05 10:48:37.734
s00_13,NULL,3487,54.50727,2023-05-05 08:57:33.329
s00_13,NULL,4206,54.36929,2023-05-05 09:10:28.849
s00_13,NULL,10755,53.669712,2023-05-05 11:04:33.316
s00_13,NULL,4967,55.056225,2023-05-05 09:24:06.63
s00_13,NULL,8951,53.96395,2023-05-05 10:32:22.207
s00_13,NULL,8643,50.441525,2023-05-05 10:27:13.399
s00_13,NULL,1896,38.13132,2023-05-05 08:44:28.878
s00_13,NULL,2662,57.51895,2023-05-05 08:57:32.24
s00_13,NULL,1414,38.56308,2023-05-05 08:36:08.818
liveday_26,One,85157,54.90881,2023-04-11 06:22:45.558
liveday_26,Three,98492,52.637703,2023-04-11 10:27:58.865
liveday_26,One,99767,53.031696,2023-04-11 10:51:03.396
liveday_26,Five,100351,50.02129,2023-04-11 11:01:47.712
liveday_26,One,95166,50.8905,2023-04-11 09:30:47.736
liveday_26,One,85659,54.10223,2023-04-11 06:31:59.961
liveday_26,Four,97553,54.10248,2023-04-11 10:11:27.725
liveday_26,Four,99116,53.13963,2023-04-11 10:39:22.283
liveday_26,Three,87282,55.58843,2023-04-11 07:03:07.785
liveday_26,Two,94032,54.513783,2023-04-11 08:59:06.631
main_825,One,538,10.063405,2023-02-15 06:07:58.818
main_825,One,299,45.978954,2023-02-15 05:51:33.376
main_825,One,47,58.23837,2023-02-15 05:24:53.359
main_825,One,82,57.430088,2023-02-15 05:38:32.245
main_825,Sic,2338,10.041633,2023-02-20 10:46:48.878
main_825,Sic,2319,29.08036,2023-02-20 10:41:30.05
main_825,Sic,1988,94.75656,2023-02-20 10:27:53.358
main_825,Sic,2219,65.797935,2023-02-20 10:33:01.155
main_825,Three,1694,96.12592,2023-02-20 10:17:23.367
is_87,Two,24209,57.768467,2023-01-18 08:17:57.751
is_87,Three,22371,59.00311,2023-01-18 06:14:35.562
is_87,Two,22878,57.999687,2023-01-18 06:26:36.667
is_87,One,26555,52.218464,2023-01-18 10:13:49.991
is_87,One,24695,57.293217,2023-01-18 08:29:08.881
is_87,Three,19264,57.52244,2023-01-18 04:41:59.983
is_87,Three,21098,59.366386,2023-01-18 05:33:06.607
is_87,Four,23602,58.16747,2023-01-18 06:44:56.682
is_87,One,20002,55.92969,2023-01-18 05:04:42.232
is_87,Seven,26621,57.584286,2023-01-18 10:19:07.717
is_87,Four,19001,58.372505,2023-01-18 04:32:35.552
is_87,One,21501,10.061375,2023-01-18 05:47:28.873
is_87,Four,21840,57.779335,2023-01-18 06:00:25.558
is_87,One,23304,58.96318,2023-01-18 06:36:30.057
is_87,Four,26863,19.403685,2023-01-18 10:31:51.127
is_87,Two,21453,57.932793,2023-01-18 05:42:57.702
is_87,Four,20391,57.328007,2023-01-18 05:16:03.348
is_87,Three,25685,57.23739,2023-01-18 09:20:39.913
is_87,Four,25102,56.62439,2023-01-18 09:06:33.308
is_87,Three,23875,58.71444,2023-01-18 06:53:05.51
is_87,Two,18068,53.90359,2023-01-18 04:07:01.172
is_87,Two,25942,56.482235,2023-01-18 09:28:03.359
is_87,Four,26743,34.37397,2023-01-18 10:26:51.164
is_87,Two,19613,56.075794,2023-01-18 04:53:36.659
is_87,One,18452,57.69675,2023-01-18 04:20:14.418
main_825,Five,2597,54.88964,2023-02-20 08:46:58.807
main_825,Five,2136,54.561607,2023-02-20 08:36:41.17
main_825,Five,2762,56.55118,2023-02-20 08:49:42.217
is_87,Four,51208,28.226715,2023-01-18 11:26:25.509
liveday_4,One,1106,27.593811,2023-02-20 11:20:06.631
main_825,Five,1383,49.8835,2023-02-15 09:33:36.674
main_825,Five,886,56.967583,2023-02-15 09:12:12.247
main_825,Five,2635,51.788044,2023-02-15 10:46:39.992
main_825,Five,2215,50.223495,2023-02-15 10:31:36.667
main_825,Five,1705,54.127438,2023-02-15 10:13:04.453
main_825,Five,735,52.742115,2023-02-15 09:09:40.062
main_825,Five,2378,19.876326,2023-02-15 10:34:20.052
main_825,Five,1126,54.28292,2023-02-15 09:22:28.811
main_905,One,12372,55.400547,2023-04-06 09:31:52.242
main_905,One,11270,10.208744,2023-04-06 09:13:03.356
is_99,Two,8212,97.960075,2023-01-31 06:47:37.749
is_99,Four,8048,48.86401,2023-01-31 05:29:01.153
is_89,Four,8287,57.13795,2023-01-20 06:54:44.464
is_89,Seven,5682,38.688892,2023-01-20 04:51:46.625
is_89,Seven,6176,52.85258,2023-01-20 05:42:17.79
is_89,Four,7309,57.1954,2023-01-20 06:19:57.735
is_89,Seven,6083,48.006035,2023-01-20 05:37:06.669
is_89,Three,5790,55.262356,2023-01-20 05:00:28.875
is_89,Three,6512,38.53075,2023-01-20 05:56:06.608
is_89,One,7775,54.776928,2023-01-20 06:34:26.683
is_89,Two,8058,58.04621,2023-01-20 06:47:17.729
liveday_26,Three,52876,52.426838,2023-03-30 05:22:08.822
is_84,Two,3914,59.305355,2023-01-10 05:20:25.532
is_84,Three,4247,45.170433,2023-01-10 05:40:09.908
is_84,Four,3781,59.257244,2023-01-10 05:09:31.149
is_84,One,3383,59.829887,2023-01-10 04:55:24.43
is_86,One,1202,56.328247,2023-01-12 06:11:47.788
is_86,Two,1740,55.20847,2023-01-12 06:29:31.121
is_86,Four,1516,55.117683,2023-01-12 06:21:28.802
is_86,Two,311,50.307884,2023-01-12 05:44:50.032
is_86,Three,2127,53.40796,2023-01-12 06:40:04.403
is_86,Three,830,52.964767,2023-01-12 06:01:00.075
is_99,Seven,7071,37.391426,2023-01-31 04:16:48.807
is_99,Three,7102,56.00434,2023-01-31 04:25:14.407
is_87,One,33726,48.932365,2023-01-18 10:13:49.986
is_87,Four,34023,48.91482,2023-01-18 10:31:51.199
is_87,One,32132,46.031006,2023-01-18 08:29:08.817
is_87,Two,33369,51.076683,2023-01-18 09:28:03.37
is_87,Four,32486,51.580242,2023-01-18 09:06:33.309
is_87,Three,33159,55.012115,2023-01-18 09:20:38.823
is_87,Two,31647,50.353733,2023-01-18 08:17:57.742
liveday_26,Five,6134,53.135498,2023-03-27 09:09:18.859
liveday_26,Three,10273,55.046497,2023-03-27 10:21:01.194
liveday_26,Two,12500,54.64216,2023-03-27 11:01:31.16
liveday_26,One,11273,54.5495,2023-03-27 10:39:28.832
liveday_26,Five,6688,53.74998,2023-03-27 09:19:34.408
liveday_26,Two,11717,53.413086,2023-03-27 10:47:38.845
liveday_26,One,14327,55.973305,2023-03-27 11:32:42.241
liveday_26,Three,7448,53.17281,2023-03-27 09:33:00.097
liveday_26,Two,10751,54.462734,2023-03-27 10:29:45.509
is_89,Two,55399,56.487988,2023-01-20 09:10:00.083
is_89,Two,53478,53.559464,2023-01-20 06:31:22.288
is_89,One,51950,53.22693,2023-01-20 05:32:33.314
is_89,One,59347,47.815807,2023-01-20 11:25:08.828
is_89,Three,55881,55.39296,2023-01-20 09:21:13.391
is_89,Three,51248,23.909805,2023-01-20 05:00:04.471
is_89,Four,51523,51.718964,2023-01-20 05:13:44.449
is_89,Three,52586,58.496284,2023-01-20 05:58:52.293
is_89,Four,58492,52.146786,2023-01-20 11:00:28.846
is_89,One,57018,51.49881,2023-01-20 10:19:11.179
is_89,Four,52880,54.916115,2023-01-20 06:07:21.155
is_89,Four,54439,53.71469,2023-01-20 08:22:23.314
is_89,One,54868,48.297592,2023-01-20 08:57:36.637
is_89,Three,57950,46.326714,2023-01-20 10:41:28.822
is_89,Three,54070,45.484814,2023-01-20 07:02:33.384
is_89,Two,52115,49.482998,2023-01-20 05:44:10.059
is_89,Two,58915,32.393612,2023-01-20 11:12:43.383
is_89,Four,56451,50.201866,2023-01-20 09:34:40.02
is_89,One,53295,48.445984,2023-01-20 06:24:31.177
is_89,Three,59761,36.299046,2023-01-20 11:44:52.288
is_89,Two,57559,53.526134,2023-01-20 10:31:24.4
main_825,Two,1939,56.35108,2023-02-20 04:39:09.92
main_825,Two,1987,56.01597,2023-02-20 04:51:14.408
main_825,Two,2230,29.305746,2023-02-20 05:25:45.554
main_825,Two,2226,54.842667,2023-02-20 05:21:18.881
liveday_29,Three,13470,54.89541,2023-04-19 06:12:38.824
is_103,One,467,94.0689,2023-02-01 06:54:18.844
is_103,Four,119,56.86324,2023-02-01 06:27:59.994
is_99,Three,3170,58.10866,2023-01-31 09:29:10.088
is_99,One,3038,54.514088,2023-01-31 09:15:28.838
is_99,Two,2926,50.247223,2023-01-31 09:03:36.607
is_99,Two,3724,51.237827,2023-01-31 10:53:10.066
is_99,Four,3552,50.48057,2023-01-31 10:43:52.271
is_99,One,4090,51.862545,2023-01-31 11:06:30.052
is_99,Two,4843,22.844887,2023-01-31 11:42:30.001
is_99,Three,4449,54.48993,2023-01-31 11:17:31.182
is_99,Four,4697,49.01186,2023-01-31 11:32:26.696
is_99,Three,2704,50.851997,2023-01-31 08:41:08.859
is_99,One,2618,56.420013,2023-01-31 08:25:53.378
is_99,Four,2761,50.83243,2023-01-31 08:52:36.6
liveday_4,Seven,9641,52.498413,2023-02-21 08:13:14.459
liveday_4,Three,10456,38.95708,2023-02-21 10:43:37.726
liveday_4,Seven,10023,33.058525,2023-02-21 10:16:15.511
liveday_4,Two,10965,36.561535,2023-02-21 11:04:14.49
liveday_4,Three,10154,18.383223,2023-02-21 10:26:14.463
liveday_4,Seven,9941,49.137222,2023-02-21 09:17:12.214
liveday_4,Three,10410,21.637691,2023-02-21 10:37:45.554
liveday_4,Two,11145,37.08164,2023-02-21 11:12:12.222
liveday_4,Seven,9808,49.434376,2023-02-21 08:57:33.332
is_86,Three,29555,59.483932,2023-01-16 06:48:55.52
